id,author,score,title,content,date,verified,image_url
70a1f0bb-d834-5509-bfcc-b06f3286bdd9,EightySeven,1,How has nobody mentioned the audio with this case on?,"
My phone vibrates so bad in my hand by using this case, something about the design of either the phone or the case just makes it so unusable in my opinion.I am missing my pixel 4 xl already. Didn't have any issues with that 1. I guess I'll wait until the 6 comes out.I don't recommend this case based on the audio issue I am having. It feels like the audio is being muffled or blocked somehow.
","Reviewed in the United States on July 5, 2021",Verified Purchase,
d4152a05-94b9-53e6-837e-62b99fe6f9da,NerdTech,1,good looking and very protective,"
I would buy again but dont need to.  works perfectly and looks nice!Update.Have the green back of phone and case left imprint of it's fancy design on the back of the phone that won't come off.  Good luck to me to sell this phone now.  Damages your phone.
","Reviewed in the United States on March 29, 2021",Verified Purchase,https://m.media-amazon.com/images/I/71DL9PG2d-L._SY88.jpg
2f19c789-34ca-5a70-8063-2a695bc59c8c,William J. Marcellus,1,Cracked screen after first drop,"
My one month old Pixel 5 screen completely shattered from a light drop of my phone at waist level (onto a totally flat surface). This case  failed to protect. Had to pay $200+ for a new screen and am immediately looking for a better case
","Reviewed in the United States on January 4, 2022",Verified Purchase,
1f6dc79d-9d29-5477-8472-6977990a001d,Rafael,1,Waste of money. Buy something else.,"
It definitely didn't protect my phone from a drop literally from the height of my pants pocket. What the point of buying a case that offers absolutely no protection? Wast of money.
","Reviewed in the United States on July 31, 2022",Verified Purchase,https://m.media-amazon.com/images/I/51O2Lb7mYlL._SY88.jpg
a0e6f306-3a9f-5c0d-8f1a-6a61d011eb55,James P,1,Disappointing,"
It didn't protect my phone from a 3 foot drop. The whole right side is bright white now.
","Reviewed in the United States on June 21, 2022",Verified Purchase,
cd7e7617-6b56-554c-a9b3-b1b8aa41f903,mlw,1,Consider this stealing,"
This is not worth more than $1.50. Cheap, thin rubber with no grip to the material. Super light weight due to the useless material.
","Reviewed in the United States on March 5, 2022",Verified Purchase,
a692b6fd-385d-5f66-b728-f3e583e28fda,ARK DVD,1,Verizon locked!!! Help!,"
I purchased an unlocked Pixel. After dealing with it for 10 days now (and visiting AT&T) in turns out it is Verizon locked!!! Help!
","Reviewed in the United States on August 9, 2022",Verified Purchase,
fea436c0-d28a-530b-ad3b-d04ee5b06518,David M Sheppard,1,not a good phone,"
drops calls all the time
","Reviewed in the United States on August 22, 2021",Verified Purchase,
4d2c3760-3fda-582f-96a6-fecb6cfa2905,Jack Barwise,1,,"
Not worth the price.Too soft and slippery, feels tacky and low quality.Would return if possible.
","Reviewed in the United Kingdom on December 8, 2023",Verified Purchase,
4124eba8-3b49-564a-94b2-2ba47765b48c,joe,1,,"
Solid case protects phone too well,....so we'll I can't swipe back on the phone or up to go home. This is due to the way to tall side bits around the screen, solved the issue by chopping off sections of the side with pliers and now I can swipe. Don't recommend it at all. Buy a flusher case.
","Reviewed in the United Kingdom on May 22, 2022",Verified Purchase,
id,author,score,title,content,date,verified,image_url
5c94efd7-c2a7-5bda-b4d4-7a1564c4288d,Dominik,1,,"
Leider hat meine Hülle oben eine Aussparung für einen nicht vorhandenen Lautsprecher, evtl war dieser mal geplant, jedoch nicht im Pixel 5 vorhanden bzw unter dem Display. Man kann davon ausgehen, dass die erste Charge wohl ohne Kenntnis des Endproduktes vorab gefertigt wurde. Ähnliches habe ich leider mit Panzergläsern erlebt. Also ein wenig abwarten und hoffen das in Zukunft passende Produkte geliefert werden.Ich bin jedoch sehr enttäuscht von einer so bekannten Marke wie Spigen. Einen Glück bei Amazon bestellt, Hülle geht zurück.
","Reviewed in Germany on October 16, 2020",Verified Purchase,
3feaca91-f698-561d-b807-fa4c882ba24b,J. Hill,1,,"
I ordered this late January 2021 and I received a model with a top cutout (says manufactured in September 2020). Other reviews from 2 months ago say they have received the new, corrected model. So why have I received this?
","Reviewed in the United Kingdom on February 1, 2021",Verified Purchase,
48672301-fdf8-5816-95f6-38fd29a46bc9,Baermann,1,,"
Die erste Spigenhülle mit der ich Probleme habe. Beim Pixel 5 beschweren sich die Anrufer über einen Hall während des Gespräches. Ohne Hülle kein Problem. Schade. Ansonsten ist die Hülle top.
","Reviewed in Germany on September 18, 2021",Verified Purchase,
227ceefe-836a-5d1b-a1cf-63414a22a65a,Lewis,1,,"
very difficult to remove phone from case once it is in, and the fingerprint scanner on the back doesn't work as well as the case blocks access a bit
","Reviewed in the United Kingdom on September 8, 2021",Verified Purchase,
